Time,Patch,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
93,1,25.225532652454,0,0,0,0,0,0,0,0,0
94,1,25.2255744198618,0,0,0,0,0,0,0,0,0
95,1,25.2256137323217,0,0,0,0,0,0,0,0,0
96,1,25.2256507335856,0,0,0,0,0,0,0,0,0
97,1,25.2256855590938,0,0,0,0,0,0,0,0,0
98,1,25.2257183365762,0,0,0,0,0,0,0,0,0
99,1,25.2257491866013,0,0,0,0,0,0,0,0,0
100,1,25.2257782229382,0,0,0,0.0295098197948816,0,0,0,0,0
101,1,25.2258055526921,0,0,0,0.0534844089275999,0,0,0,0,0
102,1,25.225831276441,0,0,0,0.0727026389521986,0,0,0,0,0
103,1,25.2258554885454,0,0,0,0.087845941437568,0,0,0,0,0
104,1,25.2258782776601,0,0,0,0.0995097385262635,0,0,0,0,0
105,1,25.2258997273064,0,0,0,0.108213585984666,0,0,0,0,0
106,1,25.2259199161535,0,0,0,0.114410169761963,0,0,0,0,0
107,1,25.2259389182494,0,0,0,0.118493281943014,0,0,0,0,0
108,1,25.2259568032775,0,0,0,0.12080488844641,0,0,0,0,0
109,1,25.225973636818,0,0,0,0.121641388717193,0,0,0,0,0
110,1,25.2259894805905,0,0,0,0.121259156844072,0,0,0,0,0
111,1,25.2260043926756,0,0,0,0.119879443859533,0,0,0,0,0
112,1,25.2260184277269,0,0,0,0.117692712337666,0,0,0,0,0
113,1,25.226031637184,0,0,0,0.114862466681093,0,0,0,0,0
114,1,25.2260440694836,0,0,0,0.111528635588514,0,0,0,0,0
115,1,25.2259746057323,8.11645249513693e-05,0,0,0.107810557031357,0,0,0,0,0
116,1,25.2256603892825,0.000406393213062139,0,0,0.103809610564518,0,0,0,0,0
117,1,25.224998526148,0.00107862053608178,0,0,0.0996115368824304,0,0,0,0,0
118,1,25.2239328696224,0.00215403130490534,0,0,0.0952884801456386,0,0,0,0,0
119,1,25.2224431345716,0.00365294650863535,0,0,0.0909007846888314,0,0,0,0,0
120,1,25.2205359759091,0.00556874498139248,0,0,0.0864985742289494,0,0,0,0,0
121,1,25.2182377194299,0.00787513269700679,0,0,0.0821231385768405,0,0,0,0,0
122,1,25.2155884793365,0.0105320253582905,0,0,0.0778081500779107,0,0,0,0,0
123,1,25.2126374364161,0.0134902703279464,0,0,0.0735807295304776,0,0,0,0,0
124,1,25.2094390848241,0.0166953999478047,0,0,0.0694623791229834,0,0,0,0,0
125,1,25.2060502845744,0.0200905791448901,0,0,0.0654697979641389,0,0,0,0,0
126,1,25.2025281918047,0.0236189134090131,0,0,0.0616155940277615,0,0,0,0,0
127,1,25.1989289619151,0.0272252084933194,0,0,0.0579089047735367,0,0,0,0,0
128,1,25.1953068391494,0.0308572659316918,0,0,0.054355937315611,0,0,0,0,0
129,1,25.1917134532515,0.0344667943212341,0,0,0.0509604377744193,0,0,0,0,0
130,1,25.1881895266861,0.0380125331541566,5.57812063707871e-07,5.67579671474275e-07,0.0477251175489737,1.45767391987724e-07,1.45934502446866e-07,2.38729227344656e-11,7.16187682033969e-11,4.77458454689313e-11
131,1,25.1847582168297,0.0414653729068957,3.19817499777561e-06,3.26610822587383e-06,0.0446514970634622,6.56693480202646e-07,6.58042550863294e-07,1.92724380092496e-10,5.78173140277487e-10,3.85448760184991e-10
132,1,25.1814297596402,0.0448065405527936,9.98323231398956e-06,1.02331717724304e-05,0.0417398658070979,1.77718681333808e-06,1.78283550783551e-06,8.06956356775768e-10,2.42086907032731e-09,1.61391271355154e-09
133,1,25.1782049803751,0.0480257542165594,2.3187627791239e-05,2.38560838840533e-05,0.0389893263344388,3.7459688264594e-06,3.76285733289188e-06,2.41264377606876e-09,7.23793132820627e-09,4.82528755213751e-09
134,1,25.1750780831015,0.051119459562745,4.50594541232188e-05,4.65284229577229e-05,0.0363978886356955,6.77763703089379e-06,6.81851313503571e-06,5.8394434488448e-09,1.75183303465344e-08,1.16788868976896e-08
135,1,25.1720389279902,0.0540892130610291,7.7651017696081e-05,8.0473559614117e-05,0.033962591346778,1.1052442944597e-05,1.11378813512039e-05,1.22054866581253e-08,3.66164599743759e-08,2.44109733162506e-08
136,1,25.1690748876873,0.0569402467325929,0.000122705771183144,0.000127622974419306,0.0316796337724644,1.67114206879616e-05,1.68716530475883e-05,2.28903370895305e-08,6.86710112685916e-08,4.57806741790611e-08
137,1,25.1661723329267,0.0596802287817904,0.000181589845186047,0.000189538819094136,0.0295445082262553,2.38548861407228e-05,2.4131251100868e-05,3.94807085921687e-08,1.18442125776506e-07,7.89614171843375e-08
